PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,North Philadelphia East,,,,,,,,,
Location:,"Lat, Lon: 40.01, -75.14",,,,,,,,,
Lat (deg N):,40.01,,,,,,,,,
Long (deg W):,75.14,,,,,,,,,
Elev (m):,44.72000122,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (roof mount),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.129,,,,,,,,,
Capacity Factor (%),"15.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
10,24,22,0,0,9,1,0,9,0,0
10,24,23,0,0,8,1,0,8,0,0
10,25,0,0,0,7,1,0,7,0,0
10,25,1,0,0,7,1,0,7,0,0
10,25,2,0,0,7,1,0,7,0,0
10,25,3,0,0,6,1,0,6,0,0
10,25,4,0,0,6,1,0,6,0,0
10,25,5,0,0,6,1,0,6,0,0
10,25,6,0,0,7,1,0,7,0,0
10,25,7,562,50,8,1,254.046,14.651,816.42,778.232
10,25,8,754,69,10,2,491.798,24.251,1635.769,1573.507
10,25,9,847,78,12,2,688.103,33.108,2248.032,2163.707
10,25,10,905,77,14,3,818.68,36.741,2646.389,2545.837
10,25,11,926,75,15,3,876.104,39.622,2796.707,2689.648
10,25,12,922,73,15,3,855.366,39.276,2733.632,2629.33
10,25,13,884,72,16,3,753.866,37.539,2420.454,2329.286
10,25,14,817,66,15,2,590.557,34.29,1900.125,1828.764
10,25,15,692,54,14,1,372.091,28.89,1173.286,1125.379
10,25,16,386,30,11,1,127.284,15.723,370.924,343.206
10,25,17,0,0,9,1,0,9,0,0
10,25,18,0,0,9,0,0,9,0,0
10,25,19,0,0,9,0,0,9,0,0
10,25,20,0,0,8,0,0,8,0,0
10,25,21,0,0,8,1,0,8,0,0
10,25,22,0,0,8,1,0,8,0,0
10,25,23,0,0,8,0,0,8,0,0
10,26,0,0,0,8,0,0,8,0,0
10,26,1,0,0,8,0,0,8,0,0
10,26,2,0,0,8,0,0,8,0,0
10,26,3,0,0,8,0,0,8,0,0
10,26,4,0,0,8,0,0,8,0,0
10,26,5,0,0,8,1,0,8,0,0
10,26,6,0,0,8,1,0,8,0,0
10,26,7,0,21,10,1,19.888,7.649,73.925,52.162
10,26,8,26,134,12,1,152.685,15,547.214,515.573
10,26,9,0,113,13,1,108.897,15.372,391.194,363.04
10,26,10,7,186,14,1,188.848,19.064,667.036,632.564
10,26,11,311,264,15,1,563.431,33.86,1853.121,1783.425
10,26,12,87,268,15,1,355.531,29.116,1197.34,1148.736
10,26,13,352,213,15,1,505.594,32.935,1665.402,1602.152
10,26,14,205,177,15,1,318.967,27.479,1072.662,1027.615
10,26,15,75,107,15,1,144.086,19.95,497.561,467.055
10,26,16,155,39,14,0,81.757,16.629,257.706,232.355
10,26,17,0,0,13,0,0,13,0,0
10,26,18,0,0,12,0,0,12,0,0
10,26,19,0,0,12,0,0,12,0,0
10,26,20,0,0,12,0,0,12,0,0
10,26,21,0,0,12,0,0,12,0,0
10,26,22,0,0,12,0,0,12,0,0
10,26,23,0,0,12,0,0,12,0,0
10,27,0,0,0,12,1,0,12,0,0
10,27,1,0,0,12,1,0,12,0,0
10,27,2,0,0,11,1,0,11,0,0
10,27,3,0,0,11,1,0,11,0,0
10,27,4,0,0,11,1,0,11,0,0
10,27,5,0,0,12,1,0,12,0,0
10,27,6,0,0,12,0,0,12,0,0
10,27,7,0,41,13,0,38.906,10.244,142.985,119.911
10,27,8,64,141,14,1,181.161,18.255,636.956,603.208
10,27,9,0,141,14,1,137.763,17.692,489.729,459.399
10,27,10,16,205,15,1,216.274,21.297,755.985,719.326
10,27,11,32,241,15,2,279.366,22.533,970.958,928.707
10,27,12,0,131,16,2,126.398,19.087,446.475,417.111
10,27,13,0,118,17,2,113.658,18.952,401.726,373.343
10,27,14,0,58,16,2,55.065,16.009,197.243,173.108
10,27,15,0,22,15,1,20.838,13.293,75.555,53.762
10,27,16,0,1,13,2,0.945,10.72,3.464,0
10,27,17,0,0,10,3,0,10,0,0
10,27,18,0,0,8,3,0,8,0,0
10,27,19,0,0,6,3,0,6,0,0
10,27,20,0,0,5,2,0,5,0,0
10,27,21,0,0,4,2,0,4,0,0
10,27,22,0,0,4,2,0,4,0,0
10,27,23,0,0,3,2,0,3,0,0
10,28,0,0,0,2,1,0,2,0,0
10,28,1,0,0,2,1,0,2,0,0
10,28,2,0,0,1,1,0,1,0,0
10,28,3,0,0,1,1,0,1,0,0
10,28,4,0,0,0,1,0,0,0,0
10,28,5,0,0,0,0,0,0,0,0
10,28,6,0,0,0,0,0,0,0,0
10,28,7,636,42,2,1,264.697,9.054,860.765,821.433
10,28,8,817,59,5,2,508.358,19.918,1719.696,1654.615
10,28,9,897,68,6,2,699.408,27.762,2341.788,2253.776
10,28,10,935,73,7,2,829.772,33.361,2725.969,2621.999
10,28,11,935,79,8,1,879.873,41.277,2784.361,2677.845
10,28,12,922,80,8,1,855.019,40.782,2710.816,2607.501
10,28,13,579,148,8,1,613.434,32.911,2017.026,1941.434
10,28,14,226,170,8,1,330.931,21.831,1141.644,1094.646
10,28,15,0,80,7,0,78.166,12.388,284.565,258.664
10,28,16,0,18,6,0,17.056,3.397,64.569,42.981
10,28,17,0,0,6,0,0,6,0,0
10,28,18,0,0,5,0,0,5,0,0
10,28,19,0,0,5,0,0,5,0,0
10,28,20,0,0,5,0,0,5,0,0
10,28,21,0,0,4,0,0,4,0,0
10,28,22,0,0,4,0,0,4,0,0
10,28,23,0,0,3,0,0,3,0,0
10,29,0,0,0,3,0,0,3,0,0
10,29,1,0,0,3,1,0,3,0,0
10,29,2,0,0,3,1,0,3,0,0
10,29,3,0,0,3,2,0,3,0,0
10,29,4,0,0,3,2,0,3,0,0
10,29,5,0,0,2,2,0,2,0,0
10,29,6,0,0,2,3,0,2,0,0
10,29,7,0,34,2,3,32.243,0.638,123.503,100.803
10,29,8,0,48,2,3,45.542,1.158,174.059,150.381
10,29,9,0,36,2,3,34.153,0.883,130.684,107.847
10,29,10,0,27,2,4,25.622,0.757,98.09,75.873
10,29,11,0,76,2,4,72.255,1.938,275.244,249.534
10,29,12,0,24,1,4,22.777,-0.201,87.551,65.533
10,29,13,0,54,1,4,51.279,0.378,196.63,172.506
10,29,14,0,28,1,4,26.545,-0.171,102.023,79.732
10,29,15,575,78,0,4,342.336,6.903,1197.887,1149.267
10,29,16,237,34,0,4,97.814,1.61,316.974,290.399
10,29,17,0,0,0,4,0,0,0,0
10,29,18,0,0,0,3,0,0,0,0
10,29,19,0,0,0,3,0,0,0,0
10,29,20,0,0,0,2,0,0,0,0
10,29,21,0,0,0,2,0,0,0,0
10,29,22,0,0,0,2,0,0,0,0
10,29,23,0,0,0,2,0,0,0,0
10,30,0,0,0,0,1,0,0,0,0
10,30,1,0,0,-1,1,0,-1,0,0
10,30,2,0,0,-1,1,0,-1,0,0
10,30,3,0,0,-2,1,0,-2,0,0
10,30,4,0,0,-2,1,0,-2,0,0
10,30,5,0,0,-3,1,0,-3,0,0
10,30,6,0,0,-2,1,0,-2,0,0
10,30,7,594,49,-1,2,257.623,4.774,856.758,817.531
10,30,8,794,73,1,2,507.791,15.974,1749.13,1683.046
10,30,9,887,87,2,2,714.102,24.38,2429.304,2337.777
10,30,10,942,90,3,2,855.359,30.404,2850.199,2740.775
10,30,11,957,94,4,2,910.011,33.527,2992.768,2876.908
10,30,12,948,94,5,2,886.872,34.032,2907.538,2795.548
10,30,13,914,89,6,2,787.319,32.008,2595.363,2496.972
10,30,14,843,78,7,1,607.902,31.382,1980.009,1905.77
10,30,15,703,60,6,0,375.7,26.71,1191.959,1143.511
10,30,16,383,27,3,0,122.622,11.191,361.714,334.193
10,30,17,0,0,1,1,0,1,0,0
10,30,18,0,0,1,1,0,1,0,0
10,30,19,0,0,1,0,0,1,0,0
10,30,20,0,0,0,0,0,0,0,0
10,30,21,0,0,0,1,0,0,0,0
10,30,22,0,0,0,1,0,0,0,0
10,30,23,0,0,0,1,0,0,0,0
10,31,0,0,0,0,0,0,0,0,0
10,31,1,0,0,0,0,0,0,0,0
10,31,2,0,0,0,0,0,0,0,0
10,31,3,0,0,-1,0,0,-1,0,0
10,31,4,0,0,0,0,0,0,0,0
10,31,5,0,0,0,0,0,0,0,0
10,31,6,0,0,0,0,0,0,0,0
10,31,7,456,59,1,0,221.622,8.088,736.319,700.149
10,31,8,675,94,3,0,469.238,23.605,1565.025,1505.087
10,31,9,572,129,6,0,548.253,31.845,1803.283,1735.33
10,31,10,743,108,8,1,720.962,34.604,2354.172,2265.667
10,31,11,851,133,9,1,874.293,41.425,2764.478,2658.833
10,31,12,667,140,10,1,718.628,38.272,2307.833,2221.166
10,31,13,533,158,11,1,581.872,33.868,1903.775,1832.284
10,31,14,164,167,10,1,281.518,21.812,972.388,930.097
10,31,15,0,66,9,0,63.72,12.973,231.371,206.554
10,31,16,0,14,7,0,13.257,3.926,50.075,28.755
10,31,17,0,0,6,0,0,6,0,0
10,31,18,0,0,6,0,0,6,0,0
10,31,19,0,0,12,1,0,12,0,0
10,31,20,0,0,11,1,0,11,0,0
10,31,21,0,0,10,1,0,10,0,0
10,31,22,0,0,10,1,0,10,0,0
10,31,23,0,0,9,1,0,9,0,0
11,1,0,0,0,9,1,0,9,0,0
11,1,1,0,0,9,1,0,9,0,0
11,1,2,0,0,9,1,0,9,0,0
11,1,3,0,0,9,0,0,9,0,0
11,1,4,0,0,8,0,0,8,0,0
11,1,5,0,0,8,0,0,8,0,0
11,1,6,0,0,9,0,0,9,0,0
11,1,7,157,61,11,0,122.325,12.972,415.049,386.377
11,1,8,558,93,14,1,405.942,27.009,1334.03,1281.359
11,1,9,660,114,16,1,589.624,37.011,1888.71,1817.755
11,1,10,648,149,19,1,691.296,44.227,2151.076,2070.476
11,1,11,668,154,21,1,744.59,48.35,2271.64,2186.394
11,1,12,663,150,22,1,724.496,48.945,2202.067,2119.519
11,1,13,580,155,23,1,611.3,46.219,1878.163,1807.582
11,1,14,481,136,22,1,450.92,39.427,1418.299,1363.034
11,1,15,314,98,21,0,244.505,34.445,764.036,727.175
11,1,16,70,27,19,0,49.045,21.845,155.889,132.565
11,1,17,0,0,17,0,0,17,0,0
11,1,18,0,0,16,0,0,16,0,0
11,1,19,0,0,16,0,0,16,0,0
11,1,20,0,0,15,0,0,15,0,0
11,1,21,0,0,15,0,0,15,0,0
11,1,22,0,0,15,0,0,15,0,0
11,1,23,0,0,14,0,0,14,0,0
11,2,0,0,0,14,0,0,14,0,0
11,2,1,0,0,13,0,0,13,0,0
11,2,2,0,0,13,0,0,13,0,0
11,2,3,0,0,12,0,0,12,0,0
11,2,4,0,0,12,0,0,12,0,0
11,2,5,0,0,12,0,0,12,0,0
11,2,6,0,0,12,0,0,12,0,0
11,2,7,132,60,14,1,113.133,15.389,382.008,354.052
11,2,8,424,119,16,1,361.846,27.375,1192.907,1144.432
11,2,9,434,157,18,1,480.263,35.024,1557.032,1497.354
11,2,10,586,170,19,0,660.517,48.106,2014.371,1938.877
11,2,11,604,179,20,0,713.348,52.172,2132.554,2052.656
11,2,12,410,217,21,0,589.543,49.282,1790.037,1722.544
11,2,13,292,224,22,0,469.246,45.064,1453.77,1397.394
11,2,14,424,151,21,0,432.411,41.784,1345.581,1292.558
11,2,15,234,89,20,0,200.22,31.552,637.198,603.444
11,2,16,43,22,18,0,33.723,19.449,109.501,87.069
11,2,17,0,0,16,0,0,16,0,0
11,2,18,0,0,16,1,0,16,0,0
11,2,19,0,0,15,1,0,15,0,0
11,2,20,0,0,14,1,0,14,0,0
11,2,21,0,0,14,1,0,14,0,0
11,2,22,0,0,13,1,0,13,0,0
11,2,23,0,0,13,1,0,13,0,0
11,3,0,0,0,13,1,0,13,0,0
11,3,1,0,0,13,1,0,13,0,0
11,3,2,0,0,12,1,0,12,0,0
11,3,3,0,0,12,0,0,12,0,0
11,3,4,0,0,12,0,0,12,0,0
11,3,5,0,0,11,0,0,11,0,0
11,3,6,0,0,12,0,0,12,0,0
11,3,7,308,58,14,1,171.047,17.593,551.671,519.927
11,3,8,529,96,16,1,391.29,28.795,1274.637,1223.754
11,3,9,652,114,18,1,580.615,38.552,1844.635,1775.238
11,3,10,747,112,21,1,722.286,47.058,2212.93,2129.963
11,3,11,768,115,22,2,777.889,46.238,2398.48,2308.199
11,3,12,765,112,23,2,758.977,46.886,2330.642,2243.072
11,3,13,670,125,23,2,644.104,43.576,2004.18,1929.059
11,3,14,599,106,22,1,488.114,40.835,1519.146,1460.691
11,3,15,458,75,21,1,282.189,31.998,879.356,839.539
11,3,16,168,25,18,1,71.828,20.05,215.899,191.392
11,3,17,0,0,16,1,0,16,0,0
11,3,18,0,0,15,1,0,15,0,0
11,3,19,0,0,14,1,0,14,0,0
11,3,20,0,0,14,1,0,14,0,0
11,3,21,0,0,13,1,0,13,0,0
11,3,22,0,0,13,1,0,13,0,0
11,3,23,0,0,12,1,0,12,0,0
11,4,0,0,0,12,1,0,12,0,0
11,4,1,0,0,12,1,0,12,0,0
11,4,2,0,0,11,1,0,11,0,0
11,4,3,0,0,11,1,0,11,0,0
11,4,4,0,0,11,1,0,11,0,0
11,4,5,0,0,11,1,0,11,0,0
11,4,6,0,0,11,0,0,11,0,0
11,4,7,450,45,13,0,201.667,19.222,629.253,595.688
11,4,8,661,70,16,0,428.864,34.331,1352.448,1299.216
11,4,9,759,85,18,0,614.29,45.153,1884.026,1813.237
11,4,10,814,91,20,0,744.174,52.88,2209.347,2126.518
11,4,11,826,97,21,0,798.559,56.487,2329.808,2242.271
11,4,12,814,97,22,1,775.176,50.805,2330.818,2243.242
11,4,13,61,210,22,1,266.311,34.225,873.995,834.318
11,4,14,57,154,21,1,195.564,27.504,660.747,626.427
11,4,15,0,77,20,2,76.088,21.178,266.197,240.672
11,4,16,123,24,17,2,60.681,17.026,189.118,165.143
11,4,17,0,0,15,2,0,15,0,0
11,4,18,0,0,14,2,0,14,0,0
11,4,19,0,0,14,2,0,14,0,0
11,4,20,0,0,14,2,0,14,0,0
11,4,21,0,0,14,1,0,14,0,0
11,4,22,0,0,14,1,0,14,0,0
11,4,23,0,0,14,1,0,14,0,0
11,5,0,0,0,14,1,0,14,0,0
11,5,1,0,0,14,1,0,14,0,0
11,5,2,0,0,14,1,0,14,0,0
11,5,3,0,0,14,0,0,14,0,0
11,5,4,0,0,14,0,0,14,0,0
11,5,5,0,0,14,0,0,14,0,0
11,5,6,0,0,14,0,0,14,0,0
11,5,7,0,35,15,0,33.208,12.068,121.065,98.412
11,5,8,0,45,17,1,42.688,16.022,152.902,129.636
11,5,9,181,189,19,1,328.522,28.727,1102.117,1056.243
11,5,10,0,98,21,1,93.639,24.223,322.993,296.292
11,5,11,4,180,22,2,180.895,25.998,618.734,585.42
11,5,12,0,69,23,2,65.569,23.857,226.559,201.838
11,5,13,0,41,23,2,38.908,22.47,135.31,112.383
11,5,14,143,158,23,2,258.184,29.137,861.343,821.996
11,5,15,347,83,22,1,244.246,30.182,773.455,736.357
11,5,16,68,23,20,0,43.429,22.503,136.321,113.376
11,5,17,0,0,19,0,0,19,0,0
11,5,18,0,0,19,0,0,19,0,0
11,5,19,0,0,19,0,0,19,0,0
11,5,20,0,0,19,1,0,19,0,0
11,5,21,0,0,19,1,0,19,0,0
11,5,22,0,0,19,1,0,19,0,0
11,5,23,0,0,18,1,0,18,0,0
11,6,0,0,0,18,0,0,18,0,0
11,6,1,0,0,17,0,0,17,0,0
11,6,2,0,0,17,0,0,17,0,0
11,6,3,0,0,16,0,0,16,0,0
11,6,4,0,0,16,0,0,16,0,0
11,6,5,0,0,15,1,0,15,0,0
11,6,6,0,0,15,1,0,15,0,0
11,6,7,67,54,15,1,81.587,15.21,280.612,254.792
11,6,8,0,46,15,1,43.64,14.372,157.472,134.117
11,6,9,0,30,15,2,28.448,13.775,102.929,80.621
11,6,10,36,209,16,1,247.622,22.679,859.6,820.299
11,6,11,0,85,16,1,80.822,18.08,286.801,260.854
11,6,12,0,80,15,2,76.05,15.49,273.051,247.386
11,6,13,18,179,15,2,191.594,19.122,676.139,641.446
11,6,14,0,105,14,2,102.327,15.865,366.778,339.149
11,6,15,0,53,14,1,50.624,13.777,183.162,159.305
11,6,16,0,7,13,1,6.62,10.64,24.287,3.44
11,6,17,0,0,13,1,0,13,0,0
11,6,18,0,0,13,1,0,13,0,0
11,6,19,0,0,13,1,0,13,0,0
11,6,20,0,0,12,1,0,12,0,0
11,6,21,0,0,12,1,0,12,0,0
11,6,22,0,0,12,1,0,12,0,0
11,6,23,0,0,12,0,0,12,0,0
11,7,0,0,0,12,0,0,12,0,0
11,7,1,0,0,12,1,0,12,0,0
11,7,2,0,0,11,0,0,11,0,0
11,7,3,0,0,10,0,0,10,0,0
11,7,4,0,0,10,0,0,10,0,0
11,7,5,0,0,10,1,0,10,0,0
11,7,6,0,0,9,1,0,9,0,0
11,7,7,24,51,9,2,61.062,8.461,221.459,196.841
11,7,8,9,110,9,2,114.305,10.506,418.71,389.957
11,7,9,729,98,11,2,605.827,28.022,2022.477,1946.684
11,7,10,827,94,12,2,750.28,35.406,2436.713,2344.886
11,7,11,862,92,13,2,814.363,38.805,2606.495,2507.635
11,7,12,863,89,14,2,797.479,39.538,2541.035,2444.918
11,7,13,835,83,14,2,703.397,36.78,2260.869,2176.043
11,7,14,764,72,13,1,537.579,34.201,1720.923,1655.8
11,7,15,615,55,12,1,321.825,24.872,1022.675,979.014
11,7,16,243,20,9,1,83.211,11.687,248.758,223.589
11,7,17,0,0,8,1,0,8,0,0
11,7,18,0,0,8,1,0,8,0,0
11,7,19,0,0,8,1,0,8,0,0
11,7,20,0,0,8,1,0,8,0,0
11,7,21,0,0,7,1,0,7,0,0
11,7,22,0,0,7,1,0,7,0,0
11,7,23,0,0,6,1,0,6,0,0
11,8,0,0,0,4,1,0,4,0,0
11,8,1,0,0,4,1,0,4,0,0
11,8,2,0,0,3,1,0,3,0,0
11,8,3,0,0,3,1,0,3,0,0
11,8,4,0,0,2,1,0,2,0,0
11,8,5,0,0,2,1,0,2,0,0
11,8,6,0,0,2,1,0,2,0,0
11,8,7,429,45,3,2,190.921,6.61,627.467,593.945
11,8,8,681,71,4,3,433.103,14.828,1492.303,1434.707
11,8,9,348,162,5,3,414.045,16.209,1466.349,1409.576
11,8,10,887,81,5,3,778.106,26.054,2642.84,2542.439
11,8,11,916,80,6,3,834.967,29.81,2792.479,2685.607
11,8,12,915,77,6,3,815.908,29.506,2730.467,2626.302
11,8,13,891,70,6,3,720.716,26.914,2428.746,2337.242
11,8,14,828,61,5,3,560.178,21.289,1904.254,1832.745
11,8,15,690,47,4,2,339.74,15.197,1122.122,1075.682
11,8,16,282,19,2,1,90.439,5.119,274.052,248.367
11,8,17,0,0,0,1,0,0,0,0
11,8,18,0,0,0,1,0,0,0,0
11,8,19,0,0,-1,1,0,-1,0,0
11,8,20,0,0,-1,1,0,-1,0,0
11,8,21,0,0,-1,1,0,-1,0,0
11,8,22,0,0,-2,1,0,-2,0,0
11,8,23,0,0,-2,1,0,-2,0,0
11,9,0,0,0,-3,1,0,-3,0,0
11,9,1,0,0,-3,1,0,-3,0,0
11,9,2,0,0,-4,1,0,-4,0,0
11,9,3,0,0,-4,1,0,-4,0,0
11,9,4,0,0,-5,1,0,-5,0,0
11,9,5,0,0,-5,1,0,-5,0,0
11,9,6,0,0,-4,1,0,-4,0,0
11,9,7,605,35,-2,1,230.107,3.744,747.169,710.729
11,9,8,822,53,0,1,478.568,16.679,1627.479,1565.491
11,9,9,915,63,2,1,675.019,27.028,2258.486,2173.753
11,9,10,957,68,4,1,807.284,34.429,2632.285,2532.333
11,9,11,969,70,5,1,862.642,37.876,2772.478,2666.483
11,9,12,958,70,6,1,838.618,38.342,2686.748,2584.47
11,9,13,919,68,6,1,735.818,34.93,2384.619,2294.896
11,9,14,847,60,5,1,568.051,27.886,1871.034,1800.705
11,9,15,701,46,4,0,341.684,23.151,1086.546,1041.11
11,9,16,318,17,2,0,94.805,8.525,277.937,252.172
11,9,17,0,0,1,1,0,1,0,0
11,9,18,0,0,0,1,0,0,0,0
11,9,19,0,0,0,1,0,0,0,0
11,9,20,0,0,0,0,0,0,0,0
11,9,21,0,0,0,0,0,0,0,0
11,9,22,0,0,0,0,0,0,0,0
11,9,23,0,0,0,0,0,0,0,0
11,10,0,0,0,-1,0,0,-1,0,0
11,10,1,0,0,-1,0,0,-1,0,0
11,10,2,0,0,-2,1,0,-2,0,0
11,10,3,0,0,-2,1,0,-2,0,0
11,10,4,0,0,-3,0,0,-3,0,0
11,10,5,0,0,-3,0,0,-3,0,0
11,10,6,0,0,-2,0,0,-2,0,0
11,10,7,554,36,-1,0,214.259,5.718,691.047,655.991
11,10,8,781,57,1,0,460.707,21.28,1534.218,1475.278
11,10,9,878,68,4,0,658.748,33.94,2131.714,2051.848
11,10,10,927,74,6,0,789.214,41.926,2478.213,2384.691
11,10,11,940,77,7,1,845.209,39.061,2700.118,2597.265
11,10,12,933,75,8,1,822.521,39.566,2618.736,2519.358
11,10,13,896,71,8,1,720.931,36.203,2321.358,2234.156
11,10,14,822,63,7,1,555.348,29.244,1817.115,1748.681
11,10,15,670,48,6,0,330.194,24.458,1044.019,999.77
11,10,16,209,17,4,0,71.975,9.286,217.744,193.2
11,10,17,0,0,2,1,0,2,0,0
11,10,18,0,0,2,1,0,2,0,0
11,10,19,0,0,2,0,0,2,0,0
11,10,20,0,0,2,0,0,2,0,0
11,10,21,0,0,2,0,0,2,0,0
11,10,22,0,0,2,0,0,2,0,0
11,10,23,0,0,2,0,0,2,0,0
11,11,0,0,0,2,0,0,2,0,0
11,11,1,0,0,2,0,0,2,0,0
11,11,2,0,0,2,0,0,2,0,0
11,11,3,0,0,1,0,0,1,0,0
11,11,4,0,0,1,0,0,1,0,0
11,11,5,0,0,0,0,0,0,0,0
11,11,6,0,0,0,0,0,0,0,0
11,11,7,397,40,2,0,173.25,6.574,566.516,534.428
11,11,8,367,96,5,1,299.166,14.634,1040.613,996.458
11,11,9,139,178,7,1,287.412,17.096,1017.994,974.462
11,11,10,89,219,10,2,300.215,18.534,1061.112,1016.387
11,11,11,69,233,11,2,303.142,19.68,1066.833,1021.949
11,11,12,82,230,11,2,309.254,19.884,1086.957,1041.509
11,11,13,0,75,11,2,71.264,12.436,259.384,233.998
11,11,14,0,53,11,2,50.301,10.527,184.633,160.746
11,11,15,0,27,11,1,25.583,9.306,94.41,72.263
11,11,16,0,3,10,1,2.835,7.192,10.557,0
11,11,17,0,0,10,1,0,10,0,0
11,11,18,0,0,9,1,0,9,0,0
11,11,19,0,0,9,1,0,9,0,0
11,11,20,0,0,9,1,0,9,0,0
11,11,21,0,0,8,1,0,8,0,0
11,11,22,0,0,8,0,0,8,0,0
11,11,23,0,0,8,0,0,8,0,0
11,12,0,0,0,8,0,0,8,0,0
11,12,1,0,0,8,0,0,8,0,0
11,12,2,0,0,9,0,0,9,0,0
11,12,3,0,0,9,0,0,9,0,0
11,12,4,0,0,9,0,0,9,0,0
11,12,5,0,0,9,0,0,9,0,0
11,12,6,0,0,9,0,0,9,0,0
11,12,7,0,4,9,0,3.781,4.241,14.261,0
11,12,8,0,48,11,0,45.545,8.385,168.751,145.176
11,12,9,47,166,12,0,205.799,19.015,724.975,689.087
11,12,10,0,145,12,0,142.233,18.39,504.013,473.361
11,12,11,45,221,12,0,270.17,23.278,935.337,894.042
11,12,12,343,212,13,0,511.615,35.297,1667.478,1604.158
11,12,13,25,176,14,0,194.177,26.29,662.52,628.157
11,12,14,0,5,14,1,4.733,12.745,17.203,0
11,12,15,160,78,13,0,155.869,17.017,532.346,501.047
11,12,16,0,11,11,0,10.414,9.776,38.351,17.247
11,12,17,0,0,10,0,0,10,0,0
11,12,18,0,0,11,0,0,11,0,0
11,12,19,0,0,11,1,0,11,0,0
11,12,20,0,0,11,1,0,11,0,0
11,12,21,0,0,11,1,0,11,0,0
11,12,22,0,0,11,1,0,11,0,0
11,12,23,0,0,12,1,0,12,0,0
11,13,0,0,0,12,2,0,12,0,0
11,13,1,0,0,13,2,0,13,0,0
11,13,2,0,0,14,3,0,14,0,0
11,13,3,0,0,13,3,0,13,0,0
11,13,4,0,0,12,4,0,12,0,0
11,13,5,0,0,10,4,0,10,0,0
11,13,6,0,0,8,5,0,8,0,0
11,13,7,442,38,7,5,182.287,9.45,582.749,550.283
11,13,8,678,66,7,5,416.881,15.215,1427.573,1372.02
11,13,9,0,30,8,6,28.444,7.877,105.623,83.264
11,13,10,0,150,8,6,147.633,9.573,544.175,512.604
11,13,11,527,172,8,6,626.325,19.579,2198.894,2116.467
11,13,12,887,85,7,6,797.245,22.948,2750.244,2645.22
11,13,13,0,84,6,6,79.983,7.648,297.302,271.137
11,13,14,117,145,6,6,227.975,9.3,832.704,794.098
11,13,15,131,77,5,6,137.991,6.734,494.757,464.314
11,13,16,0,12,4,5,11.364,2.86,43.119,21.927
11,13,17,0,0,4,5,0,4,0,0
11,13,18,0,0,3,5,0,3,0,0
11,13,19,0,0,3,5,0,3,0,0
11,13,20,0,0,3,5,0,3,0,0
11,13,21,0,0,2,5,0,2,0,0
11,13,22,0,0,2,5,0,2,0,0
11,13,23,0,0,2,4,0,2,0,0
11,14,0,0,0,1,4,0,1,0,0
11,14,1,0,0,1,4,0,1,0,0
11,14,2,0,0,1,4,0,1,0,0
11,14,3,0,0,0,4,0,0,0,0
11,14,4,0,0,0,3,0,0,0,0
11,14,5,0,0,0,3,0,0,0,0
11,14,6,0,0,0,3,0,0,0,0
11,14,7,462,36,1,3,184.901,4.057,601.686,568.775
11,14,8,713,60,2,4,422.668,11.465,1468.152,1411.322
11,14,9,823,71,3,5,617.323,16.295,2167.848,2086.61
11,14,10,883,75,4,5,747.332,20.68,2599.251,2500.697
11,14,11,899,78,5,5,803.789,23.25,2770.546,2664.636
11,14,12,894,76,6,4,783.976,26.467,2659.409,2558.302
11,14,13,855,72,6,4,690.054,24.063,2354,2265.501
11,14,14,768,65,6,4,520.424,19.514,1780.148,1712.996
11,14,15,595,49,5,3,299.885,13.37,997.358,954.39
11,14,16,162,14,4,2,57.763,4.902,179.472,155.687
11,14,17,0,0,4,2,0,4,0,0
11,14,18,0,0,3,2,0,3,0,0
11,14,19,0,0,3,2,0,3,0,0
11,14,20,0,0,2,2,0,2,0,0
11,14,21,0,0,2,2,0,2,0,0
11,14,22,0,0,2,2,0,2,0,0
11,14,23,0,0,2,2,0,2,0,0
11,15,0,0,0,1,2,0,1,0,0
11,15,1,0,0,1,1,0,1,0,0
11,15,2,0,0,1,1,0,1,0,0
11,15,3,0,0,1,1,0,1,0,0
11,15,4,0,0,1,1,0,1,0,0
11,15,5,0,0,2,1,0,2,0,0
11,15,6,0,0,2,1,0,2,0,0
11,15,7,422,36,3,1,172.309,6.501,556.113,524.267
11,15,8,695,61,5,2,415.614,16.609,1410.615,1355.59
11,15,9,815,72,7,2,611.089,25.674,2054.407,1977.435
11,15,10,870,78,8,3,744.165,28.738,2491.924,2397.839
11,15,11,896,78,9,3,799.027,31.614,2646.351,2545.801
11,15,12,893,76,9,3,780.988,31.328,2587.917,2489.839
11,15,13,858,70,10,2,687.852,32.447,2253.82,2169.269
11,15,14,783,61,9,2,522.839,26.22,1732.141,1666.637
